,Q1S,Q2S,Q3S,Q4S,Q5S,Q6S,Q7S,Q8S,Q9S,Q10S,Q11S,Q12S,Q13S,Q14S,Q15S,Q16S,Q17S,Q18S,Q19S,Q20S,Q21S,Q22S,Q23S,Q24S,Q25S,Q26S,Q27S,Q28S,Q29S,Q30S,Q31S,Q32S,age,gender,engnat
16398,1,2,5,5,5,5,3,5,1,0,3,2,1,4,-5,1,5,4,3,3,5,2,1,4,1,2,3,3,3,0,3,3,43,2,1
16399,3,3,5,5,4,4,3,2,0,2,1,0,3,5,0,1,5,3,4,2,3,1,0,1,3,2,3,5,3,3,3,5,23,2,1
16400,1,1,5,2,5,4,5,5,0,2,1,1,3,4,0,0,5,3,3,4,5,1,0,5,-1,2,2,4,5,5,5,3,39,1,1
16401,2,5,5,3,5,4,4,5,3,5,4,3,2,5,2,3,4,4,1,3,4,3,3,3,3,3,1,2,3,4,1,3,16,1,1
16402,2,3,3,0,2,3,3,1,3,5,5,4,3,5,0,2,3,1,3,3,4,2,2,3,2,1,0,5,3,2,2,0,18,1,2
16403,5,5,5,3,4,4,2,4,0,0,0,1,1,4,0,1,5,1,3,3,1,1,2,2,4,2,4,3,3,1,2,3,26,2,1
16404,5,5,5,1,5,5,5,5,5,5,3,5,5,5,3,1,3,3,3,1,5,3,3,5,5,3,1,5,3,1,5,3,26,1,2
16405,3,4,4,4,4,3,3,3,4,3,2,0,2,3,0,0,5,3,1,5,5,1,2,5,2,3,3,5,4,1,4,5,59,2,1
16406,0,5,4,4,4,3,-1,2,0,2,0,2,1,4,-1,0,4,2,3,4,3,0,2,1,0,3,3,2,3,3,2,3,16,2,1
16407,3,5,5,4,3,3,4,4,0,0,-2,2,1,4,-1,0,4,2,1,-1,2,3,0,4,0,2,3,4,0,2,3,3,14,2,1
16408,3,4,5,2,5,5,1,1,0,0,3,3,2,3,-1,0,4,3,3,2,3,1,0,1,2,3,1,-1,1,2,4,1,50,2,1
16409,3,3,1,5,5,5,3,1,3,3,3,1,5,5,-1,3,4,1,3,1,5,4,-1,3,4,3,1,4,2,3,5,3,16,2,2
16410,2,4,3,3,5,5,3,2,1,1,0,2,0,3,0,1,5,3,3,3,1,-1,1,3,0,1,3,4,2,3,3,4,49,2,1
16411,0,2,3,2,4,2,2,-1,4,5,5,5,4,5,0,4,4,2,2,2,3,4,1,3,0,2,2,-1,2,1,2,2,26,1,1
16412,3,3,5,3,5,3,3,1,3,5,5,5,5,5,1,3,3,3,2,2,5,3,2,3,2,5,3,5,4,3,5,3,19,1,2
16413,1,4,3,3,3,3,1,3,3,3,2,2,5,5,1,2,2,1,-1,3,2,1,1,2,-2,2,3,3,0,4,1,2,21,2,2
16414,2,2,5,4,5,3,2,2,0,2,1,1,2,5,0,1,5,2,2,1,1,1,3,2,-1,3,3,5,1,2,3,2,20,3,1
16415,3,4,3,3,3,3,1,5,3,3,3,3,3,4,0,2,4,4,3,0,4,1,3,3,1,3,2,5,3,2,2,2,21,1,1
16416,3,0,3,1,4,1,3,0,3,3,1,2,4,4,3,3,2,4,-1,0,2,1,1,3,-1,2,0,5,3,5,0,1,18,1,1
16417,5,4,3,3,5,4,4,5,2,5,2,3,5,5,1,3,5,5,2,5,5,1,2,5,5,4,2,5,5,5,5,5,33,1,1
16418,4,3,4,4,5,3,4,3,1,5,4,5,3,4,0,2,5,5,2,5,5,1,2,2,1,4,3,2,5,2,5,3,60,1,1
16419,5,5,5,4,4,4,4,4,1,3,1,1,5,5,3,4,5,4,0,3,5,4,2,2,1,4,2,5,3,4,5,4,17,2,1
16420,1,-1,0,0,3,0,-2,1,0,4,2,5,-2,3,-3,-1,3,1,0,2,5,3,-1,2,1,3,1,5,1,2,4,2,16,1,2
16421,1,5,5,2,3,3,1,1,2,1,0,2,2,5,-2,2,5,4,2,3,5,2,1,4,2,3,3,-1,4,2,3,2,19,2,2
16422,3,5,5,3,5,3,4,3,3,3,-1,3,3,5,1,1,3,3,3,3,3,-1,1,-1,3,3,5,5,3,1,3,3,18,2,1
16423,5,5,5,5,5,3,3,5,5,5,3,1,5,5,-1,1,5,5,3,5,5,5,3,5,3,3,3,3,4,5,3,3,42,2,1
16424,2,5,5,5,5,4,3,4,0,5,2,2,-1,4,0,2,5,4,3,3,4,0,3,1,1,2,5,4,5,3,3,4,22,2,1
16425,2,1,3,2,4,3,3,1,0,-1,-1,4,0,3,-1,0,5,4,0,1,2,1,2,1,0,2,0,2,3,1,3,2,15,2,1
16426,4,2,4,1,5,4,4,2,5,5,5,5,4,5,-1,2,5,4,5,5,5,2,3,4,1,4,1,1,4,1,5,4,57,1,1
16427,-1,1,3,1,5,3,2,3,4,1,3,3,2,3,-3,3,3,-1,3,3,3,1,2,2,1,2,1,4,3,1,1,1,30,1,2
16428,0,1,1,3,3,1,1,1,3,3,1,1,5,5,5,3,3,0,-3,2,4,3,1,1,-2,2,-1,1,2,3,0,0,17,1,2
16429,2,1,4,4,5,3,2,5,4,2,4,3,5,5,0,3,5,4,5,4,5,4,4,2,0,4,5,5,4,2,2,4,23,1,1
16430,0,4,5,2,3,3,0,0,2,3,-1,3,3,4,-1,1,3,4,4,5,5,2,2,2,0,3,3,5,5,3,2,4,17,1,1
16431,0,-1,4,1,3,4,-1,2,2,3,2,2,5,5,3,3,4,3,0,4,5,4,1,2,-1,5,0,5,4,3,4,1,21,1,2
16432,0,2,4,1,4,3,3,2,2,2,1,1,5,5,2,1,3,3,0,3,5,5,3,2,2,4,1,5,2,5,2,-1,26,1,2
16433,3,5,5,4,5,5,3,5,2,5,2,3,5,5,0,3,5,5,3,5,5,5,1,5,1,5,2,2,5,3,3,5,59,3,1
16434,5,5,5,5,5,4,4,4,3,4,2,3,4,4,1,2,5,4,2,4,4,1,2,3,2,3,2,-1,4,2,4,4,47,2,1
16435,1,3,5,1,5,5,3,3,3,3,3,3,3,5,-1,1,5,5,5,3,5,5,1,5,3,5,3,5,5,5,5,3,26,1,1
16436,3,4,5,5,5,3,3,4,5,5,4,3,4,5,2,3,5,5,3,5,4,2,3,4,3,3,4,1,3,3,5,5,40,2,1
16437,5,4,5,3,5,4,4,4,2,1,3,2,3,4,-1,1,4,3,1,4,3,0,4,3,0,2,3,5,4,3,3,3,23,2,1
16438,1,3,3,1,-1,3,-1,1,1,3,-1,-1,3,5,1,1,3,3,1,3,1,-1,1,-1,-1,3,-1,-3,1,1,1,1,14,3,2
16439,3,3,5,3,5,4,5,2,1,3,2,2,3,5,2,3,5,5,1,4,5,1,2,3,1,4,3,4,4,3,4,5,29,2,1
16440,1,0,3,4,1,3,3,0,2,1,3,2,3,5,-1,2,3,2,3,3,2,2,3,2,0,2,3,3,0,3,3,1,19,2,2
16441,1,0,3,3,4,4,1,1,4,4,5,2,4,5,0,1,1,2,0,3,4,4,4,2,0,2,3,4,3,-1,3,1,21,1,2
16442,1,3,5,4,5,5,5,5,0,0,1,3,1,4,0,1,5,4,1,5,3,-1,1,1,0,2,3,2,4,3,3,5,50,2,1
16443,0,0,2,3,4,5,2,1,2,5,3,3,4,5,1,3,1,0,2,3,4,4,2,2,1,2,0,4,3,3,3,1,21,1,2
16444,3,5,4,4,5,4,3,1,2,2,0,0,4,5,0,3,5,3,1,2,3,0,3,2,0,2,3,5,2,1,4,5,14,2,1
