,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize
46,5.0,5.0,2.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,5.0,4.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,3,6,5,5,3,5,1,4,5,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,3,3,1,2,19,1,2,1,60,2,1,2
47,3.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,4.0,2,5,4,6,3,5,4,5,3,5,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,2,3,2,2,20,1,4,2,60,2,1,1
48,5.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,2,6,6,5,5,7,4,2,5,3,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,3,3,1,2,22,1,2,1,60,0,1,2
49,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,1.0,4.0,6,5,6,3,7,6,7,2,6,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,3,3,1,2,41,1,4,1,10,1,1,4
50,4.0,5.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,5.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,2.0,1,5,7,5,5,7,5,1,7,3,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,3,3,2,2,24,1,2,1,60,2,2,2
51,5.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,1.0,3.0,1.0,5.0,5.0,1.0,4.0,2.0,1.0,4.0,5.0,3.0,5,5,3,7,4,6,7,2,7,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,4,3,1,2,24,1,8,1,10,1,1,1
52,4.0,5.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,5,6,3,2,6,1,7,7,3,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,3,2,1,48,1,2,1,70,2,1,6
53,4.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,4.0,3.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,4,2,6,2,3,6,5,1,7,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,3,1,1,55,1,1,1,60,2,2,5
54,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,5,2,6,5,6,3,7,2,4,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,1,28,1,1,1,60,1,1,3
55,5.0,5.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,1.0,4,2,6,5,3,2,6,1,6,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,1,2,22,1,2,1,60,1,1,2
56,5.0,4.0,2.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1,7,7,7,7,6,3,2,3,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,4,3,2,2,26,2,1,1,60,2,1,2
57,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,1.0,3,1,4,6,4,5,7,2,4,6,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,2,29,2,12,1,60,1,2,3
58,5.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,2.0,5.0,1.0,4.0,5.0,3.0,5.0,6,5,7,5,7,4,7,1,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,3,1,1,45,1,10,1,20,2,3,4
59,3.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1,6,7,7,2,7,7,1,7,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,3,3,2,2,24,1,10,1,70,2,1,2
60,4.0,1.0,1.0,5.0,1.0,2.0,2.0,4.0,5.0,5.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,7,2,2,1,7,2,7,1,7,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,4,2,1,1,62,2,6,1,60,1,2,2
61,5.0,1.0,5.0,4.0,2.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1,1,7,1,2,7,7,1,5,7,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,3,3,2,1,48,1,12,1,60,1,3,3
62,5.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,4.0,1.0,2,5,6,4,5,6,5,2,5,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,2,2,1,1,18,2,2,2,60,2,1,3
63,5.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,1.0,1.0,5.0,5.0,5.0,5,7,1,5,7,3,6,7,7,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,2,3,1,2,21,2,2,1,60,1,1,4
64,4.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,5.0,5.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,2,3,6,2,6,5,3,4,4,4,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,3,3,1,1,25,1,6,1,60,1,1,2
65,5.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,2.0,5.0,5.0,4.0,2,1,6,7,5,7,5,2,5,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,2,32,1,4,1,60,1,1,1
66,5.0,5.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0,5.0,1.0,4.0,1.0,1.0,5.0,5.0,5.0,4,7,6,1,6,4,5,4,2,2,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,3,1,1,1,43,3,12,1,60,1,3,4
67,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,5.0,5.0,1.0,5,5,5,5,5,3,5,7,3,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,3,2,2,26,1,4,1,60,1,1,2
68,5.0,5.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,1.0,4.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,2,3,6,7,5,7,7,5,5,4,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,19,2,1,5,60,1,1,3
